[-0.00401125 -0.01661211 -0.0049181  -0.02823703  0.04209074 -0.20637686  0.99607843], [-2.7755576e-17  0.0000000e+00 -1.3877788e-17  6.5862781e-07 -8.4030694e-07  3.0417496e-07  1.0000000e+00]
[-0.00401125 -0.02761995 -0.0059574  -0.08060175  0.04343047  0.11759455  0.99607843], [ 0.00755052 -0.0204894   0.00491474  0.12433144  0.10811304 -0.24630278  1.        ]
[-0.00401125 -0.04154162  0.01378932  0.02093473  0.0581675  -0.0951628  0.99607843], [ 0.00319713 -0.01041797 -0.00134071  0.05976881  0.1275784  -0.17763878  1.        ]
[-0.00311655 -0.0111082   0.01508845 -0.08060175 -0.09255206  0.05473442  0.99607843], [ 0.01214178 -0.02132944  0.01444784  0.11335605  0.10941029 -0.3546308  1.        ]
[ 4.62235402e-04 -4.24122512e-04  1.85814697e-05 -2.05466349e-03 -3.46005667e-03  6.38048095e-03  9.96078431e-01], [ 0.0089028  -0.01860344  0.00944347  0.10133994  0.09524224 -0.30944023  1.        ]
[-0.00401125 -0.00754684 -0.00933513  0.01007863  0.0695552  -0.03552627  0.99607843], [ 0.008379   -0.00881721  0.0014504   0.04612945  0.05064768 -0.15126154  1.        ]
[ 0.00225163  0.00443227  0.00651421 -0.03270719  0.01797561  0.00315688  0.99607843], [ 0.00594768 -0.00969011 -0.0122269   0.13764085  0.09351511 -0.09295803  1.        ]
[-4.32461563e-04 -8.19435821e-03 -2.57967129e-03  1.90189461e-02  4.00811493e-02 -3.55262690e-02  9.96078431e-01], [ 0.00916     0.00232434 -0.01685607  0.0353371   0.1272909  -0.03470847  1.        ]
[ 0.0042647   0.00119468  0.01300985  0.06563632 -0.0691068  -0.04358526  0.        ], [ 7.8553138e-03  8.3095662e-04 -4.1636708e-03 -7.8494698e-03  4.1898504e-02 -7.5026006e-03  1.0000000e+00]
[ 0.01164595  0.01803019  0.0156081  -0.08060175 -0.09255206  0.04506363  0.        ], [ 1.1847387e-02 -3.7876154e-05 -5.3120628e-03  2.3219308e-02  6.1107883e-03 -1.9305563e-03  1.0000000e+00]
[ 0.00650144 -0.01046068  0.00859282  0.06052757 -0.00145046 -0.06615043  0.99607843], [ 1.0502421e-02  1.1995160e-02 -1.9299354e-02  7.0757188e-02  4.4468636e-04  1.4180285e-02  1.0000000e+00]
[ 0.00761981 -0.01758339  0.00261683 -0.04739485 -0.02556559 -0.02102009  0.        ], [ 0.00819511  0.01451905 -0.01488744  0.04570228  0.0176495   0.02846065  1.        ]
[-0.00177451 -0.00528052  0.00859282 -0.08060175 -0.0577191  -0.13223415  0.        ], [ 0.00132217  0.00495438 -0.00962774  0.02461779  0.019777    0.01380145  1.        ]
[-0.00132716 -0.00107164 -0.00465827 -0.00524763 -0.00814911 -0.0113493  0.99607843], [-0.00548838  0.00542302 -0.00282313  0.02275363 -0.00580586  0.00479269  1.        ]
[-0.00065614 -0.00204292 -0.00024124  0.00624706 -0.00279019 -0.0113493  0.        ], [-6.1595207e-03  5.6254612e-03 -4.6779099e-03  1.8530097e-02  1.4330369e-02 -4.4244705e-04  1.0000000e+00]
[ 3.37000054e-03 -4.24122512e-04 -7.60894359e-04 -3.84545345e-02  8.59750805e-03 -6.51390364e-03  9.96078431e-01], [-0.00528674  0.00599395 -0.00308491  0.0140399  -0.00770391 -0.00622651  1.        ]
[ 0.00806716 -0.01725963  0.00079806 -0.08060175 -0.08853287 -0.02585548  0.        ], [-9.3863276e-04  5.7414551e-03 -9.1454713e-03  7.4974615e-03 -1.3108612e-02  1.9175518e-02  1.0000000e+00]
[-0.00065614 -0.00107164  0.00105788  0.00752425  0.00993724  0.02088666  0.        ], [ 1.4153527e-03  1.0887626e-04 -2.0993145e-03 -4.8993733e-03 -7.7422340e-03  1.5546224e-02  5.9829098e-01]
[-2.22185549e-03 -1.00362692e-04 -1.02071963e-03  6.24706148e-03  1.22899628e-03 -6.51390364e-03  9.96078431e-01], [-0.00319305 -0.00386451  0.01933577 -0.1748065  -0.01983111 -0.03193416  0.        ]
